StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ICsignature_Id,ICsignature_Name,ICsignature_Size,ICsignature_Type,SPANE_1,SPANE_2,SPANE_3,SPANE_4,SPANE_5,SPANE_6,SPANE_7,SPANE_8,SPANE_9,SPANE_10,SPANE_11,SPANE_12,age,netID,year,gender,gender_5_TEXT,race,race_6_TEXT,mother_ed,father_ed,family_income,Q14,Q15,SubID
2024-01-30 13:04:17,2024-01-30 13:06:23,0,199.111.212.67,100,125,1,2024-01-30 13:06:24,R_3cvHQ16t7lusB7E,,,,,38.0321,-78.489,anonymous,EN,F_ueOU7of6bDP3elX,signature.png,17853,image/png,3,2,5,2,5,2,5,2,3,4,3,4,20,fes7dq,3,1,,"4,5",,5,6,7,1,2,924497
2024-01-30 13:04:19,2024-01-30 13:06:31,0,199.111.224.112,100,131,1,2024-01-30 13:06:32,R_5QQn8nltxEynJAn,,,,,38.0321,-78.489,anonymous,EN,F_CeQhspoC7KKtFVn,signature.png,7030,image/png,4,2,3,3,3,4,3,2,2,3,1,2,21,jcd6hk,3,2,,4,,6,6,6,1,2,68918
2024-01-30 13:04:19,2024-01-30 13:06:49,0,199.111.212.12,100,150,1,2024-01-30 13:06:51,R_15HoCzZw1yL0ZRP,,,,,38.041,-78.4883,anonymous,EN,F_3nCpzcOOhhJ0plw,signature.png,8874,image/png,3,4,3,3,3,3,3,4,4,3,4,3,18,sgt5sq,1,1,,5,,5,5,7,2,2,337769
2024-01-30 13:04:19,2024-01-30 13:06:58,0,199.111.212.60,100,159,1,2024-01-30 13:07:00,R_1K42EOhRDCSBOrt,,,,,38.0321,-78.489,anonymous,EN,F_3MfaDhGPtpa6uyN,signature.png,6594,image/png,5,2,4,3,4,2,5,4,1,2,2,5,19,zmx9yx,1,1,,4,,7,6,21,1,2,24405
2024-01-30 13:04:24,2024-01-30 13:07:05,0,199.111.224.170,100,161,1,2024-01-30 13:07:06,R_75vdvHXZLcVnPyI,,,,,38.0321,-78.489,anonymous,EN,F_wYH11qI6z0RDOoh,signature.png,11313,image/png,4,2,3,2,4,2,4,2,2,4,2,3,20,aqm8ae,2,1,,4,,3,4,21,2,2,737930
2024-01-30 13:05:01,2024-01-30 13:07:07,0,199.111.224.2,100,126,1,2024-01-30 13:07:08,R_1imqymvEZ0kLRaW,,,,,38.0321,-78.489,anonymous,EN,F_9pqeUEwuToptGLf,signature.png,7200,image/png,4,5,3,2,3,2,3,5,4,3,4,3,18,asa4hw,1,1,,5,,5,6,21,1,2,488010
2024-01-30 13:04:19,2024-01-30 13:07:19,0,199.111.212.68,100,180,1,2024-01-30 13:07:21,R_6zFLPKs3uzQIy0v,,,,,38.0321,-78.489,anonymous,EN,F_0VbY0JleR47Iw4V,signature.png,9225,image/png,5,2,4,1,5,3,5,2,2,5,1,4,19,cev2fn,2,1,,7,,7,7,21,1,2,472913
2024-01-30 13:04:21,2024-01-30 13:07:35,0,73.177.195.214,100,194,1,2024-01-30 13:07:37,R_1DUSBzppBDU9AMW,,,,,38.0321,-78.489,anonymous,EN,F_1zCXFYbuDpbvA6B,signature.png,6152,image/png,3,4,3,3,3,4,3,3,2,2,2,1,21,fhb4ej,3,1,,4,,5,5,21,1,1,106152
2024-01-30 13:04:20,2024-01-30 13:08:11,0,199.111.224.211,100,230,1,2024-01-30 13:08:12,R_6mQM6eT20XLaDjb,,,,,38.0321,-78.489,anonymous,EN,F_1BVEpKbWAIdQwS4,signature.png,16439,image/png,4,3,4,2,4,3,5,2,3,4,2,3,18,sww8xv,1,1,,"1,4",,5,5,1,1,2,401132
2024-01-30 13:04:24,2024-01-30 13:09:16,0,199.111.212.92,100,291,1,2024-01-30 13:09:17,R_5LMNgV43LrpfYn7,,,,,38.0321,-78.489,anonymous,EN,F_1eqQbBXPwsjn89L,signature.png,17497,image/png,4,3,4,3,3,2,5,3,3,5,3,2,19,npw9hv,1,1,,4,,4,4,7,2,2,270094
2024-01-30 13:04:21,2024-01-30 13:09:20,0,199.111.212.56,100,299,1,2024-01-30 13:09:21,R_7aqzamRVUIFsoz8,,,,,38.0321,-78.489,anonymous,EN,F_1Lkx9AfTndiN7gZ,signature.png,11267,image/png,3,3,4,3,4,3,4,4,2,4,3,2,19,phq7ad,1,1,,4,,6,5,21,1,1,792972
2024-01-30 13:04:19,2024-01-30 13:09:30,0,199.111.212.22,100,310,1,2024-01-30 13:09:31,R_5mrC3hlRPqjqmMO,,,,,38.0321,-78.489,anonymous,EN,F_2CIDPh25NmCDAn6,signature.png,15425,image/png,4,3,4,2,4,1,3,2,1,3,2,2,18,ykc4xs,1,2,,4,,7,6,21,1,2,150715
2024-01-31 10:05:02,2024-01-31 10:06:28,0,199.111.224.67,100,86,1,2024-01-31 10:06:30,R_1kRxFH5MOvN5oeR,,,,,38.0321,-78.489,anonymous,EN,F_3phDwVqMk123Ozm,signature.png,8622,image/png,3,3,3,3,3,3,3,3,4,3,2,4,19,uzm5ue,1,1,,5,,6,7,21,1,2,513280
2024-01-31 10:04:59,2024-01-31 10:06:46,0,199.111.225.210,100,107,1,2024-01-31 10:06:48,R_6HqRFYomTi0PjhL,,,,,38.0321,-78.489,anonymous,EN,F_3rHg9kJTiuZgYcq,signature.png,9683,image/png,4,2,3,2,3,1,4,1,1,3,2,2,18,zpb2uv,1,2,,4,,6,7,21,1,1,562583
2024-01-31 10:04:59,2024-01-31 10:06:52,0,199.111.212.42,100,112,1,2024-01-31 10:06:54,R_1V1F83FtolRO6gI,,,,,38.041,-78.4883,anonymous,EN,F_3qQdrnntXjETCsv,signature.png,5938,image/png,5,3,4,3,4,3,5,3,2,4,3,4,20,rjb7dv,2,2,,5,,2,5,21,1,2,953646
2024-01-31 10:05:00,2024-01-31 10:07:24,0,199.111.212.46,100,144,1,2024-01-31 10:07:25,R_6dzdvrMsV6FrbGz,,,,,38.0321,-78.489,anonymous,EN,F_3EEGhKXTN8cieXg,signature.png,11674,image/png,3,4,3,3,3,3,3,3,2,2,4,1,19,vpz2mn,1,2,,5,,6,6,21,1,2,620071
2024-01-31 10:05:03,2024-01-31 10:07:27,0,199.111.225.139,100,143,1,2024-01-31 10:07:28,R_6V3l90XU0dAOjiJ,,,,,38.0321,-78.489,anonymous,EN,F_3Mgvngc5JUKz38e,signature.png,14893,image/png,4,2,4,2,4,3,3,2,2,3,1,4,20,bue3xp,3,2,,4,,5,5,7,1,2,768655
2024-01-31 10:05:00,2024-01-31 10:07:30,0,71.62.234.65,100,150,1,2024-01-31 10:07:31,R_3o7oetaPlyiXnjD,,,,,38.0321,-78.489,anonymous,EN,F_2fBOUl4fkez3TUR,signature.png,6133,image/png,4,3,4,2,4,3,4,2,1,4,3,4,20,asb7vt,3,2,,"4,7",,6,6,21,1,2,934829
2024-01-31 10:05:00,2024-01-31 10:07:36,0,64.99.240.226,100,155,1,2024-01-31 10:07:37,R_5emJTcg1iKnNoc9,,,,,38.9258,-77.3939,anonymous,EN,F_POJOxnRVKODHa6d,signature.png,8210,image/png,4,2,4,2,5,3,4,3,1,2,1,3,20,srz5ph,2,1,,5,,6,6,21,1,2,567234
2024-01-31 10:04:59,2024-01-31 10:07:54,0,73.251.36.158,100,174,1,2024-01-31 10:07:55,R_3uHTko1AyyNG6g5,,,,,38.0271,-78.4797,anonymous,EN,F_rqm3lOPJhApUo4p,signature.png,6765,image/png,4,2,4,2,4,2,4,2,2,2,2,2,22,qra4xv,4,7,,4,,1,1,3,2,2,690857
2024-01-31 10:05:00,2024-01-31 10:07:56,0,199.111.225.148,100,175,1,2024-01-31 10:07:57,R_178v9XMXmL6dZ0z,,,,,38.0321,-78.489,anonymous,EN,F_3HOnr9K5eYONkhB,signature.png,10317,image/png,4,3,3,3,4,2,4,3,2,3,2,2,19,xkp4qj,2,1,,5,,5,5,7,1,2,476638
2024-01-31 10:06:07,2024-01-31 10:08:31,0,199.111.225.136,100,144,1,2024-01-31 10:08:32,R_5CvPTUhZXR92EBm,,,,,38.0321,-78.489,anonymous,EN,F_1f9FgkAjuOK6klM,signature.png,17310,image/png,4,2,4,2,3,2,4,2,1,2,1,4,19,"Xpk8fz ",2,1,,"1,4,2",,2,2,5,2,2,47182
2024-01-31 10:04:59,2024-01-31 10:08:36,0,199.111.212.52,100,216,1,2024-01-31 10:08:37,R_3P1kfPQFDNCNqjs,,,,,38.041,-78.4883,anonymous,EN,F_BFZF9GGk19KYDfz,signature.png,10982,image/png,2,4,3,3,3,3,3,2,2,2,1,2,19,anp7ew,1,1,,4,,6,5,21,1,1,197904
2024-01-31 10:05:07,2024-01-31 10:08:39,0,199.111.212.80,100,211,1,2024-01-31 10:08:40,R_3AEfdNbuqI9lBRn,,,,,38.0321,-78.489,anonymous,EN,F_NW62kGFdaRJFn57,signature.png,6015,image/png,4,2,4,2,4,2,4,2,1,4,2,4,19,pdw5zq,1,2,,1,,6,4,8,1,1,600768
2024-01-31 10:05:01,2024-01-31 10:09:00,0,199.111.224.59,100,238,1,2024-01-31 10:09:01,R_1ilfbTt334XP0zL,,,,,38.0321,-78.489,anonymous,EN,F_XzUnWedUE2G3kZz,signature.png,17514,image/png,5,3,4,3,4,2,4,2,2,4,3,4,20,sgx6be,2,1,,4,,6,6,8,1,2,65159
2024-01-31 10:05:01,2024-01-31 10:10:01,0,64.99.226.180,100,299,1,2024-01-31 10:10:02,R_5WJD7aga703SXiH,,,,,38.0321,-78.489,anonymous,EN,F_1GHMLtXjFsuyAaH,signature.png,7373,image/png,4,2,4,2,4,2,4,3,3,4,2,4,28,mjz2sy,3,1,,5,,7,7,3,2,2,31392
2024-02-02 11:48:33,2024-02-02 11:50:18,0,199.111.224.238,100,105,1,2024-02-02 11:50:20,R_5czqfRIIXHRYR5r,,,,,38.0321,-78.489,anonymous,EN,F_1KlPaYJCUHOhKJM,signature.png,9433,image/png,4,3,4,2,4,1,4,2,2,3,1,4,18,kje3tp,1,1,,5,,2,2,6,2,1,183128
2024-02-02 11:48:38,2024-02-02 11:50:23,0,199.111.212.32,100,105,1,2024-02-02 11:50:24,R_7jr25z5zPXyYPl4,,,,,38.0321,-78.489,anonymous,EN,F_9FGJqKrnENJ2JUt,signature.png,7441,image/png,4,2,4,2,4,1,4,2,1,4,1,3,19,yqr4dc,1,2,,4,,6,7,21,1,1,982075
2024-02-02 11:48:31,2024-02-02 11:50:38,0,75.102.136.105,100,126,1,2024-02-02 11:50:39,R_7soSWmpYwdafMWJ,,,,,38.0321,-78.489,anonymous,EN,F_1kHYWNc65tKIn0T,signature.png,11762,image/png,3,3,3,3,3,2,3,1,2,3,3,4,20,kbx4xq,2,2,,4,,5,7,21,1,1,220828
2024-02-02 11:48:50,2024-02-02 11:50:40,0,199.111.225.54,100,110,1,2024-02-02 11:50:41,R_7PS1Tt9wOzqpt6l,,,,,38.0321,-78.489,anonymous,EN,F_1gFRvFFqG2iaIyq,signature.png,11721,image/png,4,3,3,3,3,3,3,3,3,3,3,3,22,sve3pe,3,1,,5,,3,6,1,1,1,743046
2024-02-02 11:48:37,2024-02-02 11:51:04,0,71.62.199.170,100,147,1,2024-02-02 11:51:05,R_7KUhCgnpAOmDg1E,,,,,38.0936,-78.5623,anonymous,EN,F_2v8KD2qzjKtZ7ql,signature.png,12211,image/png,4,2,3,1,3,2,4,2,2,4,1,4,20,znz6xz,2,1,,5,,1,2,6,2,2,465207
2024-02-02 11:48:32,2024-02-02 11:51:19,0,199.111.212.18,100,166,1,2024-02-02 11:51:20,R_3hE7uUvwSFeyR21,,,,,38.0321,-78.489,anonymous,EN,F_2UbFNlcvo4oG4af,signature.png,19276,image/png,3,3,3,2,4,3,2,2,2,2,1,3,18,rha7mn,1,1,,5,,7,7,6,1,2,598908
2024-02-02 11:48:33,2024-02-02 11:51:20,0,73.12.48.242,100,166,1,2024-02-02 11:51:21,R_78Z2SsbMH6m4ovC,,,,,38.0321,-78.489,anonymous,EN,F_3hzOIjYMmH6HJWK,signature.png,9815,image/png,3,3,4,3,4,2,4,2,4,4,1,4,21,rz3zv,3,2,,5,,5,5,7,1,1,243614
2024-02-02 11:48:33,2024-02-02 11:51:36,0,67.129.8.194,100,183,1,2024-02-02 11:51:37,R_3Dq0gnP6s8X9UPO,,,,,38.0321,-78.489,anonymous,EN,F_1CgulPHFhR2BjKi,signature.png,13619,image/png,4,3,4,2,4,1,4,2,1,5,2,4,19,vwp5zc,2,1,,5,,2,2,7,2,1,108038
2024-02-02 11:48:34,2024-02-02 11:51:38,0,206.248.255.164,100,183,1,2024-02-02 11:51:39,R_73Byz8IKAL6cP5K,,,,,38.0321,-78.489,anonymous,EN,F_dhe871baNC6JseR,signature.png,8248,image/png,4,3,3,2,4,2,3,2,1,3,2,3,19,fnf8eh,2,2,,5,,5,6,8,1,2,76003
2024-02-02 11:48:36,2024-02-02 11:52:10,0,199.111.212.67,100,213,1,2024-02-02 11:52:11,R_1APCVe5dzvkNpND,,,,,38.0321,-78.489,anonymous,EN,F_33BBN1yJ8rchCQ2,signature.png,15265,image/png,4,3,4,3,4,2,4,4,2,2,3,4,19,qrm3nh,1,1,,4,,2,2,21,2,2,97946
2024-02-02 11:48:31,2024-02-02 11:53:09,0,73.251.173.203,100,277,1,2024-02-02 11:53:10,R_1EyetLzV7eInHL4,,,,,38.0321,-78.489,anonymous,EN,F_3EbT9xsjdGEitx3,signature.png,14164,image/png,4,4,4,3,4,3,4,3,2,3,3,4,20,gbh5vn,3,2,,4,,6,7,7,1,1,269608
2024-02-02 11:50:39,2024-02-02 11:53:51,0,73.171.34.193,100,191,1,2024-02-02 11:53:52,R_6D7w9HMZIyKvykP,,,,,38.0321,-78.489,anonymous,EN,F_SGAvKnpeeTM8jAt,signature.png,9292,image/png,4,3,3,3,3,2,4,3,1,3,2,2,21,wzg6qh,3,2,,4,,6,6,8,1,1,688468
2024-02-02 11:48:32,2024-02-02 11:58:21,0,108.169.215.220,100,589,1,2024-02-02 11:58:22,R_1QX4hZtos7quHJn,,,,,38.0321,-78.489,anonymous,EN,F_3LXy4eaCs1DjJjW,signature.png,13780,image/png,4,3,4,3,5,2,4,2,2,4,3,5,20,cev4uv,2,1,,4,,2,2,7,2,1,18608
2024-02-02 11:59:41,2024-02-02 12:00:42,0,199.111.212.107,100,60,1,2024-02-02 12:00:43,R_7U56Dx11f40yncX,,,,,38.0321,-78.489,anonymous,EN,F_W7gLEJrfOexkjqV,signature.png,6622,image/png,4,2,4,2,4,2,4,2,2,4,2,3,19,yqr4dc,1,2,,4,,6,7,21,1,1,476123
2024-02-02 12:09:46,2024-02-02 12:12:33,0,199.111.212.172,100,167,1,2024-02-02 12:12:34,R_604xQGyVQqcbYNb,,,,,38.0321,-78.489,anonymous,EN,F_x9E6fe6uAzPXuBr,signature.png,7913,image/png,4,2,5,2,4,2,4,1,1,3,1,5,19,akz9rb,2,2,,4,,6,5,21,1,1,253519
